artist_name,wikipedia_summary
Odd Mob,"Odd Mob (sometimes stylised as ODD MOB) is an alias of DJ/producer Harry Hope from Brisbane, Australia, formerly a duo consisting of Hope and Robbie Jacobs. Odd Mob is most well known for the viral hit ""Is It a Banger?"", which placed at number 70 in the 2014 Triple J Hottest 100, and ""Left to Right"", which has since amassed over 8.8 million streams on Spotify alone, gaining support from the likes of Skrillex, Fred Again.., Dom Dolla, Disclosure, Diplo and Chris Lake."
Stelvio Cipriani,"Stelvio Cipriani (20 August 1937 – 1 October 2018), also known as Viostel, was an Italian composer, mostly of motion picture soundtracks, conductor and pianist."
MØ,"William Sami Étienne Grigahcine (born 13 June 1986), known by his stage name DJ Snake, is a French DJ and record producer. He was first credited with production work on several singles for other artists—including ""Shut It Down"" by Pitbull and ""Applause"" by Lady Gaga—before gaining widespread recognition for his 2013 debut single, ""Turn Down for What"" (with Lil Jon).
Released by Mad Decent, an imprint of Columbia Records, the song peaked at number 19 on the French SNEP singles chart, number four on the Billboard Hot 100, and received octuple platinum certification by the Recording Industry Association of America (RIAA). Furthermore, it was nominated for Best Music Video at the 57th Annual Grammy Awards, and won Top Dance/Electronic Song at the 2015 2015 Billboard Music Awards. DJ Snake's 2015 collaborative single with label boss Diplo, ""Lean On"" (with Major Lazer featuring MØ), was met with similar success, peaking at number four on the Hot 100 and peaking atop music charts in nine countries."
Bebe Rexha,"Bleta ""Bebe"" Rexha ( BEE-bee REK-sə, Albanian: [ˈblɛta ˈɾɛdʒa]; born August 30, 1989) is an American singer and songwriter. She signed with Warner Records in 2013, and was credited with co-writing releases of other artists—such as Eminem's Grammy Award-winning single ""The Monster""—before furthering her career as a recording artist. Her debut extended play (EP), I Don't Wanna Grow Up (2015), did not chart domestically, although its single ""I'm Gonna Show You Crazy"" entered several international charts.
Rexha released two additional EPs in 2017: All Your Fault: Pt. 1 and All Your Fault: Pt. 2, both of which spawned the singles ""I Got You"" and ""The Way I Are (Dance with Somebody)"" (featuring Lil Wayne). Rexha saw further success with her collaborations such as ""Hey Mama"" (with David Guetta, Nicki Minaj and Afrojack), ""Me, Myself & I"" (with G-Eazy), ""In the Name of Love"" (with Martin Garrix), and ""Meant to Be"" (featuring Florida Georgia Line); the latter peaked at number two on the Hot 100 and was nominated for Best Country Duo/Group Performance at the 61st Grammy Awards. Rexha's debut studio album, (2018), peaked at number 13 on the 200 and yielded her a nomination for Best New Artist that same year. Her second and third albums, (2021) and (2023), both lukewarmly entered the 200; the latter included the single ""I'm Good (Blue)"" (with David Guetta), which peaked at number four on the Hot 100 and topped the charts in 22 countries."
Supertramp,"Supertramp were an English rock band formed in London in 1970. Marked by the individual songwriting of founders Roger Hodgson (vocals, keyboards and guitars) and Rick Davies (vocals and keyboards), the group were distinguished for blending progressive rock and pop styles. The classic lineup, which lasted ten years from 1973 to 1983, consisted of Davies, Hodgson, Dougie Thomson (bass), Bob Siebenberg (drums) and John Helliwell (saxophone), after which the group's lineup changed numerous times, with Davies eventually becoming the only constant member throughout its history.
The group found no success with their first two albums, but after a lineup change into what became their classic lineup, their third album, Crime of the Century (1974), was their breakthrough. Initially a more experimental prog-rock group, they began moving towards a more pop-oriented sound with the album. The band reached their commercial peak with 1979's , which yielded the international top 10 singles ""The Logical Song"", ""Breakfast in America"", ""Goodbye Stranger"" and ""Take the Long Way Home"". Their other top 40 hits included ""Dreamer"" (1974), ""Give a Little Bit"" (1977) and ""It's Raining Again"" (1982)."
Chick Corea,"Armando Anthony ""Chick"" Corea (June 12, 1941 – February 9, 2021) was an American jazz pianist, composer, bandleader and occasional percussionist. His compositions ""Spain"", ""500 Miles High"", ""La Fiesta"", ""Armando's Rhumba"" and ""Windows"" are widely considered jazz standards. As a member of Miles Davis's band in the late 1960s, he participated in the birth of jazz fusion. In the 1970s he formed Return to Forever. Along with McCoy Tyner, Herbie Hancock and Keith Jarrett, Corea is considered to have been one of the foremost pianists of the post-John Coltrane era.
Corea continued to collaborate frequently while exploring different musical styles throughout the 1980s and 1990s. As of January 2025, he has won 28 Grammy Awards and was nominated 72 times for the award."
Ice-T,"Tracy Lauren Marrow (born February 16, 1958), better known by his stage name Ice-T (or Ice T), is an American rapper and actor. He is active in both hip hop and heavy metal. Ice-T began his career as an underground rapper in the 1980s and was signed to Sire Records in 1987, when he released his debut album Rhyme Pays. The following year, he founded the record label Rhyme $yndicate Records (named after his collective of fellow hip-hop artists called the ""Rhyme $yndicate"") and released another album, Power (1988), which would go platinum. He also released several other albums that went gold, including The Iceberg/Freedom of Speech... Just Watch What You Say! (1989), O.G. Original Gangster (1991) and Home Invasion (1993)."
Alice DeeJay,"Alice Deejay is a Dutch Eurodance project founded and produced by Wessel van Diepen, Dennis van den Driesschen, Sebastiaan Molijn and Eelke Kalberg (Pronti & Kalmani), fronted by singer Judith Anna Pronk. They are best known for their 1998 single ""Better Off Alone"", which was a worldwide success, selling over one million albums and 5 million singles worldwide."
Maribou State,"Maribou State are an English electronic music duo consisting of Chris Davids and Liam Ivory. To date, they have released eight EPs and three studio albums, Portraits (2015), Kingdoms in Colour (2018), and Hallucinating Love (2025). Besides their own material, the two producers have also done remixes for the likes of Alpines and Lana Del Rey. The duo perform internationally and are signed to Counter Records, an imprint of UK independent label Ninja Tune."
Jobriath,"Bruce Wayne Campbell (December 14, 1946 – August 3, 1983), known by his stage name Jobriath, was an American rock musician and actor. He was the first openly gay rock musician to be signed to a major record label and one of the first internationally famous musicians to die of AIDS."
Lonnie Smith,"Lonnie Smith (July 3, 1942 – September 28, 2021), styled Dr. Lonnie Smith, was an American jazz Hammond B3 organist who was a member of the George Benson quartet in the 1960s. He recorded albums with saxophonist Lou Donaldson for Blue Note before being signed as a solo act. He owned the label Pilgrimage, and was named the year's best organist by the Jazz Journalists Association nine times."
Eiffel 65,"Eiffel 65 are an Italian Eurodance group formed in 1997 in the studios of the Turin based record company Bliss Corporation. The group consists of Jeffrey Jey, Maurizio Lobina, and formerly Gabry Ponte. They gained global popularity with their singles ""Blue (Da Ba Dee)"" and ""Move Your Body"" from their 1999 debut studio album Europop. The singles reached number one in many countries, while the album peaked at number four on the Billboard 200 chart. Their following two albums, Contact! (2001) and their self-titled Eiffel 65 (2003), did not gain international success, but still managed to gain success in Italy.
Throughout their career, the group won a World Music Award in 2000 for the World Best Selling Italian Group, and a B.M.I USA in Los Angeles, rewarding the most-broadcast song on radio in the United States. They were also nominated at the Grammy Award for Best Dance Recording for ""Blue (Da Ba Dee)""."
Samra,"Hussein Akkouche (born 15 January 1995), known professionally as Samra, is a Lebanese-German rapper based in Berlin. In November 2018, he had his first solo number-one in Germany with ""Cataleya"". In January 2019, Samra was named the winner of the Hiphop.de Award in the Best National Newcomer category."
Notti Osama,"Ethan Reyes (January 17, 2008 – July 9, 2022), professionally known as Notti Osama, was an American rapper. Born and raised in Harlem, New York City, he rose to fame following the release of Sugarhill Ddot's breakout single ""Too Tact"" in 2022."
DD Osama,"David DeShaun Reyes (born November 29, 2006), known professionally as DD Osama, is an American rapper based in New York."
Nessbeal,"Nabil Sahli (born 16 August 1978), better known by his stage name Nessbeal, is a French rapper. Nessbeal started earlier as NessBeal under which he released his debut studio album La mélodie des briques. At times he has also used NE2S or just Ness. He is currently signed to 7th Magnitude, founded by French record producer Skread."
Cr7z,Cr7z [kʁɪz] (bürgerlich Christoph Hess) ist ein deutscher Rapper aus Rosenheim.
Fard,"Fard (* 16. Juni 1984 in Abadan; bürgerlich: Farhad Nazarinejad, Persisch: فرهاد نظرینژاد) ist ein deutsch-iranischer Rapper aus Gladbeck (Ruhrgebiet)."
Timmy Trumpet,"Timothy Jude Smith (born 9 June 1982), known by his stage name Timmy Trumpet, is an Australian musician, DJ, songwriter and record producer. He has become known internationally for playing the trumpet live and making use of jazz elements in dance music.
Timmy Trumpet's breakthrough single ""Freaks"" with New Zealand rapper Savage was certified gold by the RIAA, six times platinum by ARIA, and triple platinum by Recorded Music NZ. Timmy Trumpet is currently ranked the number 5 DJ in the world, according to the DJ Mag Top 100.
On 25 March 2019, Timmy Trumpet became the first trumpet player to perform in zero gravity, a project partnership between the European Space Agency and BigCityBeats."
Quebonafide,"Kuba Grabowski (born 7 July 1991 in Ciechanów), better known by his stage names Quebonafide and Jakub Grabowski, is a Polish rapper, singer and songwriter. He is a member of the duos Yochimu and Taconafide, and the founder of the record label QueQuality. With over 350 thousand albums sold, he is one of Poland's best-selling rappers. His biggest success thus far – the Soma 0.5 mg album, recorded with the rapper Taco Hemingway – has sold more than 150 thousand copies. Also his solo album Egzotyka proved successful, selling over 150 thousand copies. His albums have repeatedly won the status of platinum, gold and diamond records. The rapper has authored such hits as 'Candy', 'Bubbletea' or 'Tamagotchi'. Five-time nominee for the Fryderyk award, with one victory for Soma 0,5 mg in the Hip-Hop Album of the Year category. In 2018, his album Egzotyka was nominated for Empik Bestseller award in the Polish Music category."
DJ Flip,"Otsochodzi, pseudonimo di Miłosz Stępień (Varsavia, 5 marzo 1996), è un rapper polacco."
L.E.J,"L.E.J, short for Lucie, Élisa and Juliette, sometimes Elijay, is a French band composed of three women from Saint-Denis, a city in Paris' suburbs. They became famous by condensing numerous top songs from the summer of 2015 into a mashup performance. Their song mashup Summer 2015 had millions of plays on YouTube as of August 2015 and was thus a global hit in less than a month. Their music is based on classical and world music, described by MTV reviewer Joseph Lamour as ""eclectic"". According to Seventeen magazine, the three vocalists have been best friends since childhood, and have been performing together since 2013. Reviewer Hannah Orenstein described their sound as ""pared-down but strong."" Juliette plays the cello and sings backups while Elisa and Lucie are the main singers."
N-Dubz,"N-Dubz are an English hip-hop trio from Camden Town, London, England, consisting of cousins Dappy and Tulisa, and their friend Fazer. After winning a MOBO Award for Best Newcomer in 2007, N-Dubz briefly signed with Polydor Records before joining All Around the World. Released the following year, the trio's debut album Uncle B was certified double platinum and gave rise to four UK top-40 singles.
In 2009, N-Dubz won Best UK Act at the MOBO Awards and released their second album, Against All Odds. It charted at number six and was certified platinum, preceded by their first top-10 single ""I Need You"". The same year, N-Dubz achieved their first UK chart-topper, as a featured artist on Tinchy Stryder's song ""Number 1"". The trio's third album, Love.Live.Life (2010), charted at number seven and became their third successive platinum-selling album. It included the top-10 singles ""We Dance On"" and ""Best Behaviour"". The group then took an 11-year hiatus to pursue solo careers before announcing re-forming in May 2022, releasing the single “Charmer” and a sold-out UK arena tour in November and December."
AVA,"Amanda Ava Koci (born Amanda Koçi; February 16, 1994), known professionally as Ava Max ( AY-və), is an American singer and songwriter. She rose to prominence in 2018 with the release of her breakthrough single ""Sweet but Psycho"". The song peaked at number one in 22 countries and reached number two and number 10 on the Australian ARIA Charts and US Billboard Hot 100, respectively.
In March 2020, Max released the song, ""Kings & Queens"", which peaked at number 13 on the Billboard Hot 100 and at number 19 on the UK Singles Chart. It was followed by the release of her debut studio album, Heaven & Hell, in September 2020, which charted at number two on the UK Albums Chart and at number 27 on the US Billboard 200. In November 2020, the song ""My Head & My Heart"" was released, which peaked at number 45 on the Hot 100 and at number 18 on the UK Singles Chart. Max released her second studio album, , on January 27, 2023."
VillaBanks,"Vieri Igor Traxler (born 17 August 2000), known professionally as VillaBanks, is an Italian rapper."
Sylvan LaCue,"Sylvan Pierre LaCue (born September 2, 1990), formerly known as QuESt, is an American rapper originating from Miami, Florida. He began his career in 2009 with several releases, including the critically acclaimed Searching Sylvan mixtape. In April 2016, he released his debut album, Far From Familiar, and in January 2018, he released his second album, Apologies in Advance.
He previously signed to Chris Zarou's Visionary Music Group record label (2013–2014) before forming his own collective, WiseUp & Co. In 2016, he signed a distribution deal with INGrooves, his first as an independent artist."
Monica Salmaso,"Mônica Salmaso (born 27 February 1971 in São Paulo, Brazil) is a música popular brasileira (MPB) singer."
Luciano (German Rapper),"Patrick Großmann (born 28 January 1994), known professionally as Luciano, is a German rapper.
The son of a Mozambican father and a German mother, Luciano grew up mostly in the Schöneberg district of Berlin. He published his first pieces on the Locosquad YouTube channel. A little later followed the first mixtape 12812. He achieved his breakthrough with the piece Jagen die Mio, which he published with his friend Nikky Santoro. This was followed by another mixtape called Banditorinho.
He is a member of Locosquad and a part of the rap duo $kelleto and Azzi Memo. His first song was produced by Skaf Films. At the time producer Gentian was the director. As of March 2019, his highest solo single placing in Germany is number three with the song ""Meer"". He has also reached number one as a featured artist on Capital Bra's ""Roli Glitzer Glitzer""."
Don Diablo,"Don Pepijn Schipper (Dutch pronunciation: [ˈdɔn pəˈpɛin ˈsxɪpər]; born 27 February 1980), better known by his stage name Don Diablo, is a Dutch DJ, digital artist, record producer, musician and songwriter of electronic dance music. He is one of the pioneers of the future house genre and was ranked sixth in the Top 100 DJs – 2020 list by DJ Mag. He was also ranked number one Producer of the Year for 2018 by 1001Tracklists. In 2016, he was ranked the number one Future House Artist of the Year on Beatport.
In 2015, he founded his own record label, HEXAGON."
Gusttavo Lima,"Nivaldo Batista Lima (born September 3, 1989), known by his stage name Gusttavo Lima (Portuguese: [ɡusˈtavu ˈlimɐ]), is a Brazilian singer, songwriter and record producer. He is known in Brazil for his many hit songs, and gained international prominence through his 2011 song ""Balada"".
Lima started his career at the age of 7, with his elder brothers Willian and Marcelo, as a member of the Trio Remelexo. After leaving the trio, he went to the Sertanejo music duo Gustavo & Alessandro. In 2009, Lima released his debut solo studio album, which produced the successful song ""Rosas, Versos e Vinhos"", that topped regional radio charts and later entered in the Brasil Hot 100 Airplay. In 2010, the singer released his first live album, Inventor dos Amores, which produced three successful singles, ""Inventor dos Amores"", ""Cor de Ouro"" and ""Refém"". In 2011, the single ""Balada"", propelled Lima to national stardom. The song peaked at number 3 on Brazil Hot 100 Airplay, and also reached success in several countries such as the Netherlands, Belgium, Spain, United States, France, Sweden, among others. ""Balada"" was include in his second live album (2011), which was certified platinum in Brazil. In 2012, the singer made his first international tour in the United States and in Europe. His third live album (2012), which produced the single hit ""Gatinha Assanhada"", sold more than 200,000 copies and was certified double platinum."
Brazilian Girls,"Brazilian Girls is a band from New York, United States, known for their eclectic blend of electronic dance music with musical styles as diverse as tango, chanson, house, reggae and lounge (but no Brazilian rhythms at all). None of the members are actually from Brazil and the only female in the band is the Italian singer Sabina Sciubba. Other members include Argentine keyboardist Didi Gutman, drummer Aaron Johnston and bassist Jesse Murphy.
The band released four studio albums: their self-titled debut on 1 February 2005, Talk to La Bomb on 12 September 2006, and New York City on 5 August 2008, and Let's make Love on 13 April 2018."
Field Mob,"Field Mob is an American hip hop duo from Albany, Georgia, composed of artists Darion ""Smoke"" Crawford and Shawn Timothy ""Shawn Jay"" Johnson."
Aretuza Lovi,"Bruno Tutida Nascimento, mais conhecido como Aretuza Lovi (Cristalina, 9 de março de 1990), é um cantor, drag queen, apresentador, e humorista brasileiro.
O sobrenome teve influência do futebol: assistindo a uma reportagem sobre o jogador Vágner Love, a cantora adotou seu sobrenome, trocando o “E” pelo “I”."
Slimka,"Slimka (born Cassim Sall; 30 April 1994), is a Swiss rapper and singer. Born in Geneva, Switzerland to an Italian-German mother and a Senegalese-Malian father, he is considered one of the principal representatives of French Swiss rap along with his fellow rappers who form the Genevan Superwak Clique: Di-Meh, Makala and Varnish la Piscine. He credits Di-Meh and Makala for his continued enthusiasm in making music and cites them as his biggest motivators."
Sterbinszky,"DJ sTERBInszky (born: Károly Sterbinszky, 10, November 1972) is a Hungarian DJ.
Sterbinszky started to make music at around the age of 16, becoming a significant DJ of several smaller clubs. Five years later, in 1993 he won the Hungarian Disco Mix Club Competition. Proving his technical proficiency behind the turntables, the award earned him wider recognition and new opportunities within the Hungarian club entertainment industry. Aside from regular performances at a number of high-profile venues, he also promoted and organized major club events such as SkyLight and Hype Holiday House."
Dada Life,"Dada Life are a Swedish DJ duo formed in 2006, which consists of Olle Cornéer and Stefan Engblom. They have released three albums, a number of singles and remixes and one compilation. The duo had early chart success in Belgium and the Netherlands, while their second album The Rules of Dada reached the Billboard 200. They are known for their humour during their live performances, while their name is a homage to the absurdist movement of the early twentieth century. They have released multiple audio plugins programmed by Tailored Noise: Endless Smile, Space In-Your-Face, Wide Awake, Eternal Return and most notably Sausage Fattener, a saturator."
George Duke,"George M. Duke (January 12, 1946 – August 5, 2013) was an American keyboardist, composer, singer-songwriter and record producer. He worked with numerous artists as arranger, music director, writer and co-writer, record producer and as a professor of music. He first made a name for himself with the album The Jean-Luc Ponty Experience with the George Duke Trio. He was known primarily for 32 solo albums, of which A Brazilian Love Affair from 1979 was his most popular, as well as for his collaborations with other musicians, particularly Frank Zappa."
Vinylshakerz,"Vinylshakerz (also known as Vanguard prior to 2005) were a German tech/electro house act, formed in 2004 by Rico Bernasconi and Mike Red, and best known for the 2005 remix of the Murray Head hit ""One Night in Bangkok"". The producers have also remixed material for other artists, like Wham!, George Michael, Bon Jovi, Toto, My Mine, Boney M, and many more, mainly for dance compilation CDs."
Paul Horn,"Paul Horn (March 17, 1930 – June 29, 2014) was an American flautist, saxophonist, composer and producer. He became a pioneer of world and new age music with his 1969 album Inside. He received five Grammy nominations between 1965 and 1999, including three nominations in 1965."
Drillionaire,"Drillionaire, noto in precedenza come Drillegittimo, pseudonimo di Diego Vincenzo Vettraino (Vizzolo Predabissi, 26 agosto 1993), è un produttore discografico, disc jockey ed ex calciatore italiano."
ANNA,"Anna Pepe (born 15 August 2003), known professionally as Anna, is an Italian rapper. She was born in La Spezia, in Liguria, Italy. Her father is a DJ and her mother a sculptor. In 2020, she became the youngest artist to top the Italian singles chart with ""Bando"", her debut single."
Lazza,"Jacopo Lazzarini (born 22 August 1994), known professionally as Lazza, is an Italian rapper, songwriter and record producer."
Tony Effe,"Nicolò Rapisarda (born 17 May 1991), known professionally as Tony Effe, is an Italian rapper and former child actor. He was a member of Dark Polo Gang.
He debuted as a solo artist in 2021 with the studio album Untouchable, which topped the Italian album chart. In 2024, he peaked at number 1 again with his second album Icon, which became the best-selling album of the year in Italy.
In February 2025, he competed in the Sanremo Music Festival 2025 with the song ""Damme 'na mano"", placing 25th."
The Orb,"The Orb are an English electronic music group founded in 1988 by Alex Paterson and Jimmy Cauty. Known for their psychedelic sound, the Orb developed a cult following among clubbers ""coming down"" from drug-induced highs. Their influential 1991 debut album The Orb's Adventures Beyond the Ultraworld pioneered the UK's nascent ambient house movement, while its UK chart-topping follow-up U.F.Orb represented the group's commercial peak.
Beginning as ambient and dub DJs in London, the Orb's early performances were inspired by electronic artists of the 1970s, most notably Brian Eno, Cluster, and Kraftwerk. The Orb have maintained their signature science fiction aesthetic despite numerous personnel changes, including the departure of Cauty and members Kris Weston, Andy Falconer, Simon Phillips, Nick Burton, and Andy Hughes. Paterson has been the only permanent member, continuing to work as the Orb with Swiss-German producer Thomas Fehlmann, and later, with Martin ""Youth"" Glover, bassist of Killing Joke. Paterson's unauthorised use of other artists' works has led to multiple disputes, most notably with Rickie Lee Jones."
Machine Girl,"Machine Girl (sometimes stylized as machin3gir1) is an American electronic music project created in 2012 by Matt Stephenson (also known as DJ Chaotic Ugly) in Long Island, New York. In 2015, the project became a duo, with Stephenson recruiting percussionist Sean Kelly to play live drums.
In 2022, Machine Girl composed the original soundtrack for the video game Neon White, coming in two parts—""The Wicked Heart"" and ""The Burn That Cures""—in link with the scenario of the game."
Nat King Cole,"Nathaniel Adams Coles (March 17, 1919 – February 15, 1965), known professionally as Nat King Cole, alternatively billed as Nat ""King"" Cole, was an American singer, jazz pianist, and actor. Cole's career as a jazz and pop vocalist started in the late 1930s and spanned almost three decades where he found success and recorded over 100 songs that became hits on the pop charts.
Cole started his career as a jazz pianist in the late 1930s, when he formed the King Cole Trio, which became the top-selling group (and the only black act) on Capitol Records in the 1940s. Cole's trio was the model for small jazz ensembles that followed. Starting in 1950, he transitioned to become a solo singer billed as Nat King Cole. Despite achieving mainstream success, Cole faced intense racial discrimination during his career. While not a major vocal public figure in the civil rights movement, Cole was a member of his local NAACP branch and participated in the 1963 March on Washington. He regularly performed for civil rights organizations. From 1956 to 1957, Cole hosted the NBC variety series , which became the first nationally broadcast television show hosted by a black American."
Dillinja,"Karl Nicholas Francis, also known as Dillinja, is a British jungle/drum and bass DJ and record producer."
Mystery,"Mystery (often stylized as MYSTERY) is a Canadian rock band formed in 1986 by multi-instrumentalist Michel St-Père. The band released their eponymous debut EP in 1992 with Raymond and Gary Savoie on lead vocals, followed by their first album Theatre of the Mind in 1996 and then Destiny? in 1998, both with Gary on lead vocals. In 2007 the band released their third album Beneath the Veil of Winter's Face with singer Benoît David who would record two more studio albums with the band: One Among the Living in 2010 and The World is a Game in 2012. In 2015 the band released their sixth album and first with current singer Jean Pageau Delusion Rain, followed by Lies and Butterflies in 2018 and Redemption on May 15, 2023."
Brett Domino,"Brett Domino is the alter-ego of British musician and comedian Rob J Madin (born 5 May 1986). As Brett Domino, he is a musician and internet celebrity from Leeds, although Madin is actually from Chesterfield, Derbyshire. He is best known for his YouTube videos, in which he plays covers and original songs on various musical instruments, most notably the keytar. His band, The Brett Domino Trio, currently consists of only two members, Domino and ""Steven Peavis"" (Ste Anderson), having only been a three-piece for around a year. ""Mitch Hutchinson"" (Michael Denny) left the band in 2009, allegedly to become a forklift truck driver; he later returned to celebrate the band's fifth anniversary and appear on the finale of Brett Domino's Weekly YouTube Thing."
Jimmy McGriff,"James Harrell McGriff (April 3, 1936 – May 24, 2008) was an American hard bop and soul-jazz organist and organ trio bandleader."
Carlo Iacobelli,"Carlo Gesualdo da Venosa (between 8 March 1566 and 30 March 1566 – 8 September 1613) was an Italian nobleman and composer. Though both the Prince of Venosa and Count of Conza, he is better known for writing madrigals and pieces of sacred music that use a chromatic language not heard again until the late 19th century. He is also known for killing his first wife and her aristocratic lover upon finding them in flagrante delicto."
Zedd,"Anton Zaslavski (Russian: Антон Заславский; born 2 September 1989), known professionally as Zedd (), is a German record producer and DJ. His stage name, Zedd, was derived from zed, the English pronunciation, barring American English, for the first letter of his surname. Raised in Kaiserslautern, Zedd rose to mainstream success with his 2012 single ""Clarity"" (featuring Foxes), which peaked at number eight on the Billboard Hot 100 and won Best Dance Recording at the 56th Grammy Awards. It served as the third single for his debut studio album of the same name (2012), of which its deluxe edition spawned the US top 20 single ""Stay the Night"" (featuring Hayley Williams).
Zedd's second studio album, True Colors (2015), was supported by his third Billboard Hot 100-top 20 single, ""I Want You to Know"" (featuring Selena Gomez). His 2017 single, ""Stay"" (with Alessia Cara), peaked at number seven on the chart, while his 2018 single, ""The Middle"" (with Maren Morris and Grey) peaked at number five. Zedd guest appeared on Ariana Grande's 2014 single ""Break Free"", which peaked at number four. He released his third studio album, , on 30 August 2024."
Channel Live,"Channel Live is an American hip hop duo composed of Vincent ""Tuffy"" Morgan and Hakim Green, which recorded for Capitol Records and Flavor Unit Records.
Discovered by KRS-One, the duo released its debut album, Station Identification, in 1995. It spawned the group's most successful single, ""Mad Izm"", which peaked at 54 on the Billboard Hot 100."
EarthGang,"EarthGang (stylized EARTHGANG) is an American hip hop duo from Atlanta, Georgia, composed of Olu (aka Johnny Venus; born Olu Onyemachi Dakarai Fann) and WowGr8 (aka Doctur Dot; born Eian Parker). They are co-founders of the musical collective Spillage Village, with JID, Hollywood JB, JordxnBryant, 6lack, Mereba, and Benji.
Formed in 2008, EarthGang released their first EP, The Better Party, in 2010. This was followed by several singles and two mixtapes, Mad Men and Good News in 2011. In 2013, the duo released their debut album Shallow Graves For Toys and was largely well-received, with Noisey calling it ""one of the most well thought-out releases of the year"" and praising the album's ""playful delivery and biting lyricism."" Their second album, Strays with Rabies, was released to positive reviews in 2015. After signing to J. Cole's Dreamville Records, EarthGang released a trilogy of EPs: , (2017), and (2018), leading up to their major label debut album, (2019)."
Propellerheads,"Propellerheads were an English electronic music duo, formed in 1995 in Bath by Will White and Alex Gifford."
Soldiers,"The Soldiers is a singing trio consisting of serving British Army soldiers, whose debut album, Coming Home, was released on 26 October 2009, and who have since continued their singing career whilst remaining full-time army personnel. Signed to CPW Productions Warner Bros. Records, the trio consists of Ryan Idzi, Richie Maddocks and Gary Chilton.
The Soldiers' first national interview was with The Sun, with a free download of the lead song ""Coming Home"" from the debut album Coming Home. The song was written by Jake Hook, Nick Patrick and Jeff Chegwin. It was delivered as a free download for 48 hours through The Sun website as a promotion for the forthcoming album. Proceeds from the single were donated to The Army Benevolent Fund. The Soldiers were also featured in Big Sing 2009, hosted by Aled Jones from London's Royal Albert Hall, with special guests also including Bryn Terfel, Ruby Turner, Amy Nuttall. The show was broadcast on BBC TV on 25 October 2009."
Alessandro Safina,"Alessandro Safina (Italian pronunciation: [alesˈsandro saˈfiːna]) is an Italian operatic pop tenor.
Born in Siena, Italy, Safina has sought to combine his interests in opera and modern pop music."
Sia,"Sia Kate Isobelle Furler ( SEE-ə; born 18 December 1975) is an Australian singer and songwriter. Born and raised in Adelaide, she started her career as a singer in the acid jazz band Crisp in the mid-1990s. When Crisp disbanded in 1997, she released her debut studio album, OnlySee, in Australia. Sia moved to London and provided vocals for the British duo Zero 7. She released her second studio album, Healing Is Difficult, in 2001 and her third, Colour the Small One, in 2004.
Sia moved to New York City in 2005 and toured the United States. Her fourth and fifth studio albums, Some People Have Real Problems and We Are Born, were released in 2008 and 2010 respectively, and both were certified gold by the Australian Recording Industry Association and attracted wider notice than her earlier albums. Uncomfortable with her growing fame, she took a hiatus from performing and focused on songwriting for other artists, producing successful collaborations ""Titanium"" (with David Guetta), ""Diamonds"" (for Rihanna), ""Wild Ones"" (with Flo Rida) and ""Pretty Hurts"" (for Beyoncé)."
Da Bush Babees,"Da Bush Babees is an American underground hip-hop trio loosely affiliated with the Native Tongues. The members of the group originally performed under the stage names Babe-B-Face Kaos (later Lee Majors), Mister Man (later King Khaliyl) and Y-Tee (later Light).
The three grew up in Jamaica and Trinidad, where reggae strongly influenced their style. It was in 1992 in Brooklyn, New York, United States, where Mister Man first saw Kaos perform, that the group was formed. The two began collaborating, and after Mister Man suggested adding a reggae toaster, Y-Tee joined the group. After their early concert dates attracted major-label interest, the trio performed live office auditions and signed with Reprise three months after launching the group. Their first album, Ambushed (1994), featured production from Jay Matias, Ali Shaheed Muhammad, Salaam Gibbs (later known as Salaam Remi) and the group itself, among others. Later releases included ""Remember We"" in 1995 and their 1996 second album , which was the group's first underground and commercial success. Its lead single, ""The Love Song"", was produced by Posdnous of De La Soul; that single also featured a then-unknown Mos Def singing the chorus, who also sang the chorus and rapped the third verse of the album's seventh track, ""S.O.S""."
Sensei D.,"Donald James MacHale (born March 11, 1956) is an American writer, director, and executive producer. He has been affiliated with shows such as Are You Afraid of the Dark?, Flight 29 Down and Seasonal Differences. MacHale is also the author of the popular young adult book series, Pendragon and Morpheus Road."
southstar,Southstar (bürgerlich Leon Kirschnek) ist ein deutscher Techno-DJ und Musikproduzent.
Johnny “Hammond” Smith,"John Robert ""Johnny Hammond"" Smith (December 16, 1933 – June 4, 1997) was an American soul jazz and hard bop organist. Born in Louisville, Kentucky, he was a renowned player of the Hammond B-3 organ so earning ""Hammond"" as a nickname, which also avoided his being confused with jazz guitarist Johnny Smith though this could lead to him being confused with Jimmy Smith (musician), another Hammond great."
